,airportsID,capacity
0,BKK,300000
1,ADD,162000
2,BOM,175685
3,CAI,281232
4,CAN,300000
5,CDG,300000
6,DEL,281232
7,DOH,300000
8,DXB,300000
9,FRA,300000
10,HKG,300000
11,IST,300000
12,JED,265165
13,JNB,204143
14,LHR,300000
15,LOS,135764
16,NBO,135764
17,PEK,300000
18,PVG,300000
19,YYZ,300000
20,AKL,99430
21,ADL,48000
22,CBR,11022
23,KUL,300000
24,MEL,148689
25,SIN,300000
26,SYD,249415
27,ICN,300000
28,LAX,300000
29,SCL,111121
30,SFO,300000
31,BCN,218897
32,ALG,111121
33,CMN,148689
34,LGW,111121
35,MAD,300000
36,SVO,249415
37,TUN,99430
38,ATL,300000
39,AMS,300000
40,BOS,218897
41,CPT,23717
42,DFW,300000
43,EWR,300000
44,EZE,148689
45,GRU,300000
46,HGH,111121
47,IAH,300000
48,JFK,300000
49,LIM,148689
50,MEX,265165
51,MIA,300000
52,ORD,300000
53,SEA,281232
54,TPE,300000
55,BOG,162000
56,BSB,31176
57,CLT,204143
58,DEN,175685
59,LAS,204143
60,MCO,204143
61,PHX,162000
62,CGK,175685
63,CKG,135764
64,HND,148689
65,KMG,135764
66,MNL,189736
67,SGN,189736
68,SZX,99430
69,CLO,16970
70,SDU,6000
71,HRG,23717
72,DMK,77391
73,SHA,48000
74,XIY,88181
