ID_start,ID_end
ALG,LHR
LHR,SDU
SDU,CLO
CLO,SCL
SCL,TPE
TPE,CGK
CGK,SEA
SEA,MIA
MIA,JFK
JFK,BSB
BSB,BKK
BKK,SHA
SHA,BOG
BOG,EZE
EZE,LGW
LGW,FRA
FRA,EWR
EWR,SGN
SGN,CDG
CDG,ADD
ADD,HRG
HRG,MEX
MEX,BCN
BCN,DOH
DOH,JNB
JNB,BOS
BOS,CLT
CLT,LOS
LOS,ATL
ATL,IAH
IAH,NBO
NBO,PHX
PHX,LIM
LIM,DFW
DFW,CBR
CBR,BOM
BOM,SVO
SVO,HGH
HGH,PVG
PVG,CPT
CPT,AMS
AMS,KUL
KUL,CMN
CMN,MEL
MEL,CAI
CAI,MNL
MNL,PEK
PEK,HND
HND,SIN
SIN,AKL
AKL,ICN
ICN,CAN
CAN,DMK
DMK,ORD
ORD,ADL
ADL,XIY
XIY,TUN
TUN,KMG
KMG,DEN
DEN,LAX
LAX,IST
IST,HKG
HKG,JED
JED,LAS
LAS,CKG
CKG,GRU
GRU,YYZ
YYZ,SFO
SFO,DEL
DEL,MCO
MCO,DXB
DXB,SYD
SYD,SZX
SZX,MAD
JNB,ORD
SDU,XIY
HND,NBO
CMN,NBO
CGK,CAN
CMN,PHX
MEX,ORD
SFO,DMK
ICN,AKL
CMN,KMG
LAS,PHX
PEK,EZE
SDU,ICN
DFW,BOS
SVO,FRA
PHX,CLT
LIM,YYZ
AKL,SGN
DMK,NBO
DOH,DMK
MNL,FRA
BKK,JED
IAH,GRU
FRA,SDU
AKL,CGK
XIY,HRG
EWR,DXB
JED,AKL
LOS,LGW
BKK,LHR
MIA,MCO
HRG,ADL
BCN,BOS
MEX,GRU
EZE,AKL
CLO,HKG
LHR,CLT
CGK,CAI
LAX,ADL
PVG,BOS
SIN,XIY
EZE,CGK
CAI,ALG
ORD,PVG
SYD,MEX
BOG,BOM
CBR,MIA
CPT,SFO
GRU,ADD
CBR,LHR
YYZ,LHR
CMN,LOS
PHX,EZE
MEL,MNL
JNB,LIM
MEL,BOM
SCL,CLT
IST,DEN
PHX,SFO
LOS,CLO
ORD,SZX
CAI,JED
DOH,YYZ
TUN,TPE
JFK,KUL
LGW,LHR
DEN,SGN
CAN,MEX
ADL,CPT
JNB,TPE
ORD,CLT
HKG,MIA
SYD,BOG
DMK,LHR
SHA,AMS
AKL,NBO
CLO,CGK
PEK,FRA
SHA,SZX
HKG,CPT
LIM,CMN
TPE,FRA
KUL,SEA
ATL,CAN
JFK,CGK
HRG,LGW
CDG,HGH
DFW,SYD
LHR,BOS
BOM,DMK
MEX,NBO
EWR,MEX
LOS,CMN
MIA,LIM
GRU,CAN
PHX,AMS
MCO,ADL
IAH,AMS
LAS,MEL
AKL,PEK
SVO,PEK
SFO,SYD
CAN,CDG
DEN,DMK
LHR,HND
CGK,LAX
SEA,FRA
DEL,SFO
BOS,MCO
HRG,SDU
HRG,CLT
PVG,IAH
EZE,CAN
TPE,ALG
DEL,CDG
DMK,IST
KMG,YYZ
DXB,LGW
CAN,TUN
DFW,LOS
CPT,CKG
IAH,CLO
BOS,BKK
BCN,SZX
HRG,LHR
TUN,DFW
SCL,IAH
GRU,CMN
MEL,GRU
SZX,KUL
CGK,SCL
SDU,IAH
CLT,IST
LGW,HKG
TPE,ORD
JED,DOH
CLO,LOS
LIM,DOH
TUN,BKK
DOH,LOS
EZE,MAD
DEN,ICN
ADL,MIA
EZE,IAH
BOS,SGN
PVG,CAI
SZX,LAX
PHX,SHA
SCL,SGN
LAX,CMN
CBR,BOG
DEN,MCO
HND,DOH
FRA,HRG
LHR,LAS
SZX,TPE
LHR,MCO
DEN,SYD
SIN,ORD
CGK,HGH
CLO,BKK
KMG,CLT
BOS,IAH
AKL,ADD
LHR,LAX
SEA,NBO
XIY,LAX
BSB,MIA
KMG,LAS
TPE,XIY
PEK,JED
SYD,SGN
PEK,CAI
DEL,HGH
CPT,LAX
MEL,ORD
SCL,IST
BOS,BOM
CLO,MAD
TUN,EWR
TPE,BOM
CPT,ORD
LOS,SZX
XIY,DEL
TPE,MEX
DXB,HRG
CMN,ADL
FRA,BSB
KMG,LOS
KMG,TUN
MIA,ICN
SYD,MIA
JED,DEL
LHR,MIA
PEK,DEN
SDU,BOM
HRG,SYD
CPT,JED
BOG,MCO
IST,LAX
CBR,SCL
FRA,ALG
LOS,CAI
MAD,JED
DEL,MNL
CAI,DEL
BCN,JED
AKL,CAN
AMS,ALG
BCN,DXB
CMN,SIN
PVG,TUN
BOM,CKG
YYZ,AMS
SFO,KUL
SYD,FRA
MNL,TPE
ICN,BKK
HRG,MNL
DEL,JFK
CPT,MNL
LAX,HKG
EWR,NBO
AMS,ATL
XIY,SGN
LHR,IST
CAI,CGK
SGN,JED
CLT,IAH
SVO,NBO
NBO,AMS
CPT,FRA
BOG,MNL
BOG,HND
TUN,CMN
MAD,ADD
BCN,CLT
MEX,IST
SIN,DFW
GRU,SFO
CDG,LHR
SFO,TUN
DOH,DEL
MNL,LGW
BKK,LGW
AKL,MAD
PVG,SGN
LAS,SFO
IAH,ICN
DEN,IAH
TPE,BKK
ADD,BSB
BSB,SYD
LIM,CBR
CKG,SIN
EWR,CLO
BOG,AKL
IST,SDU
CGK,SFO
PHX,TUN
ATL,TPE
PVG,SVO
LOS,CAN
SVO,AMS
MNL,IAH
CGK,TPE
MIA,SDU
LAX,GRU
CDG,BKK
LAS,CMN
BOM,SEA
MNL,HKG
CGK,GRU
DFW,HGH
NBO,EZE
SEA,BOS
HKG,LAS
ICN,SHA
ADL,CMN
CBR,DOH
TPE,MCO
CAN,CLT
XIY,JFK
LAX,DEL
YYZ,MCO
ADL,MNL
MIA,CAN
SGN,XIY
HRG,AKL
LHR,NBO
EWR,ALG
BOM,BOG
DEN,DOH
TPE,BCN
SVO,MIA
BSB,ADL
SZX,IAH
FRA,HND
CMN,MAD
KUL,XIY
MIA,LGW
LOS,MEL
BOM,DEL
JNB,CLO
CMN,CGK
HRG,MIA
LOS,IST
DMK,HRG
CKG,HRG
SVO,BSB
PHX,ADL
AMS,MEX
DMK,LAS
BCN,BKK
ICN,CBR
MNL,ICN
ALG,BOM
BOM,SDU
ADL,CAI
CDG,EZE
DOH,ATL
EZE,MIA
SIN,CLO
EWR,CLT
MAD,TUN
JFK,DFW
DXB,EWR
BSB,CPT
DFW,CPT
CAN,DFW
SCL,DEL
AKL,SHA
CAN,ORD
CPT,MCO
LOS,JED
SHA,EWR
HKG,YYZ
NBO,CLO
IST,KUL
SEA,SCL
LHR,DFW
LIM,DEN
BOM,JFK
MCO,LIM
GRU,CKG
SDU,AMS
XIY,AMS
AMS,LAS
ICN,DOH
ADL,DXB
IST,PHX
PHX,PEK
PEK,SDU
SDU,NBO
BOG,TPE
SZX,BOS
IST,ICN
LAX,XIY
MAD,BCN
NBO,CBR
CAI,HRG
CMN,PEK
DFW,CAN
PHX,EWR
TPE,SEA
DFW,CDG
DMK,IAH
CLT,BKK
BOS,PEK
SHA,AKL
DEL,SHA
ALG,PEK
LIM,JED
ALG,EZE
SYD,DXB
ORD,MEX
DXB,DEN
JNB,ATL
BCN,MIA
IAH,MIA
PVG,SDU
JFK,MEX
TUN,FRA
ICN,GRU
NBO,KMG
DEN,DFW
SFO,LOS
GRU,MAD
XIY,DFW
MAD,CBR
SVO,DEN
SVO,GRU
SVO,ADL
SZX,LOS
SIN,CGK
SHA,SDU
IST,HGH
YYZ,MEX
JNB,SYD
XIY,MAD
CDG,ORD
KMG,AMS
SHA,HND
SDU,JNB
KUL,DFW
SZX,ALG
CAN,HGH
HND,ADL
SVO,XIY
SCL,JFK
SEA,JFK
CLT,BOS
BKK,CGK
KMG,MIA
DMK,GRU
CKG,LAS
LGW,SYD
MEX,XIY
GRU,LIM
CLO,EWR
CKG,BCN
DOH,HRG
LIM,BSB
CMN,SEA
CKG,PVG
DEN,AMS
